,TIME_PERIOD,IDENTIFIER_x,IDENTIFIER_y,OBS_VALUE
0,2008-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,317663.447909148
1,2008-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,110453.87355937614
2,2008-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,272454.2022618932
3,2008-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,39367.90465751522
4,2009-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,163595.2861151777
5,2009-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,8819.42080958552
6,2009-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,194988.94147303962
7,2009-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,203746.54499248197
8,2010-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,177381.51312865817
9,2010-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,265023.6901434824
10,2010-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,226062.32671225307
11,2010-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,33834.80514840725
12,2011-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,329427.994705189
13,2011-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,133419.2852114226
14,2011-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,202857.93347124563
15,2011-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,328710.6468318504
16,2012-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,339020.1777444637
17,2012-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,234402.34900249945
18,2012-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,267356.7787885261
19,2012-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,281708.82443458366
20,2013-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,276760.58225012507
21,2013-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,288254.96227725
22,2013-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,175790.93251346875
23,2013-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,484028.9439300626
24,2014-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,108315.32046831251
25,2014-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,51602.03266143748
26,2014-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,214259.74162148434
27,2014-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,119076.81956660155
28,2015-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,740406.9180345625
29,2015-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,285302.134913875
30,2015-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,350780.5902165625
31,2015-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,703712.4834977501
32,2016-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,361262.86323975
33,2016-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,141315.84751162498
34,2016-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,177583.9856781797
35,2016-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,162105.31322593743
36,2017-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,503426.0059449805
37,2017-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,274519.54970725
38,2017-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,-212233.1782356094
39,2017-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,98103.21913724995
40,2018-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,148091.92583856249
41,2018-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,56711.241915843726
42,2018-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,-194476.73078812507
43,2018-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,-639234.9077382754
44,2019-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,290084.0327278124
45,2019-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,-319938.3749258749
46,2019-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,362510.2601958517
47,2019-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,-337803.0170955
48,2020-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,-102229.826297875
49,2020-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,95928.44311814065
50,2020-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,54174.7312555625
51,2020-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,-84934.50952153123
52,2021-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,253481.38118960548
53,2021-Q2,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,10836.565775625002
54,2021-Q3,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,85192.733765125
55,2021-Q4,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,-51628.998391078145
56,2022-Q1,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,64463.866001
